i,j
7,1
11,1
12,1
14,1
1,2
3,2
7,3
11,3
14,3
7,4
14,4
4,5
8,5
9,5
10,5
1,6
3,6
7,8
12,8
14,8
7,9
14,9
7,10
12,10
14,10
7,11
14,11
7,12
14,12
1,13
