i,j
1,2
9,2
10,2
11,2
23,2
2,3
4,3
14,3
17,3
19,3
25,3
27,3
28,3
29,3
30,3
31,3
4,5
14,5
19,5
27,5
28,5
29,5
30,5
1,6
9,6
10,6
11,6
23,6
2,7
3,7
5,7
6,7
12,7
15,7
16,7
18,7
20,7
21,7
22,7
26,7
2,8
3,8
5,8
6,8
12,8
15,8
16,8
18,8
20,8
21,8
22,8
26,8
1,12
2,12
9,12
10,12
11,12
24,12
2,13
3,13
5,13
6,13
12,13
15,13
16,13
18,13
20,13
21,13
22,13
26,13
24,14
4,15
14,15
19,15
27,15
28,15
29,15
30,15
2,16
4,16
14,16
17,16
19,16
25,16
27,16
28,16
29,16
30,16
31,16
31,17
4,18
14,18
19,18
27,18
28,18
29,18
30,18
2,20
4,20
14,20
17,20
19,20
25,20
27,20
28,20
29,20
30,20
31,20
2,21
4,21
14,21
17,21
19,21
25,21
27,21
28,21
29,21
30,21
31,21
1,22
9,22
10,22
11,22
17,25
4,26
14,26
19,26
27,26
28,26
29,26
30,26
