i,j
67,1
1,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
67,3
49,4
54,4
49,5
66,5
67,5
67,6
67,13
67,14
66,15
67,15
66,17
49,18
65,18
67,21
67,22
67,23
49,26
67,28
67,29
67,32
67,33
34,34
1,35
4,35
15,35
26,35
1,36
4,36
5,36
6,36
7,36
8,36
9,36
10,36
12,36
13,36
14,36
15,36
16,36
17,36
18,36
19,36
22,36
23,36
24,36
25,36
26,36
27,36
28,36
31,36
32,36
33,36
34,36
50,36
54,36
1,37
3,37
13,37
15,37
16,37
26,37
31,37
33,37
54,37
1,38
15,38
18,38
26,38
1,39
26,39
1,40
3,40
15,40
50,40
1,41
5,41
6,41
9,41
13,41
15,41
28,41
32,41
33,41
50,41
54,41
1,42
13,42
15,42
28,42
32,42
50,42
1,43
15,43
50,43
1,44
15,44
50,44
1,45
13,45
21,45
28,45
32,45
50,45
1,46
28,46
32,46
1,47
4,48
67,48
13,51
15,51
50,51
13,52
32,52
50,52
28,53
50,53
67,54
28,55
54,55
54,56
66,56
67,56
13,57
13,58
13,59
13,60
15,61
15,62
28,63
32,63
28,64
67,66
67,68
