i,j
1,2
3,2
4,2
5,2
6,2
37,4
4,5
7,5
37,5
39,5
40,5
4,6
37,6
4,7
7,7
37,7
4,8
7,8
37,8
39,8
40,8
4,9
7,9
39,9
40,9
4,10
7,10
37,10
39,10
40,10
5,11
8,11
10,11
13,11
34,11
35,11
36,11
5,12
8,12
10,12
13,12
34,12
35,12
36,12
4,13
37,13
39,13
40,13
4,14
13,14
13,15
4,16
13,16
4,17
13,17
13,18
13,19
13,20
13,21
4,22
13,22
13,23
4,24
6,24
13,24
4,25
6,25
13,25
4,26
6,26
13,26
13,27
13,28
13,29
13,30
13,31
13,32
13,33
4,34
37,34
4,35
37,35
39,35
40,35
4,36
37,36
39,36
40,36
4,38
37,38
4,39
37,39
39,39
40,39
4,40
37,40
39,40
40,40
