i,j
1,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
17,2
18,2
21,2
23,2
24,2
25,2
26,2
41,3
1,4
3,4
8,4
11,4
15,4
17,4
18,4
21,4
25,4
26,4
29,4
15,5
22,5
41,5
1,6
5,6
7,6
19,6
21,6
25,6
26,6
34,6
15,7
22,7
41,7
11,12
15,12
28,12
29,12
30,12
35,12
36,12
37,12
11,13
15,13
21,13
29,13
35,13
36,13
37,13
40,13
41,13
15,14
21,14
29,14
1,16
9,16
10,16
11,16
12,16
13,16
14,16
15,16
17,16
18,16
21,16
23,16
24,16
25,16
26,16
20,17
20,18
15,19
21,19
29,19
36,19
39,19
41,19
15,23
41,23
15,24
22,24
41,24
15,27
29,27
36,27
39,27
42,27
20,28
29,28
31,28
32,28
33,28
29,30
28,34
30,38
42,38
