i,j
11,1
1,2
3,2
4,2
5,2
11,3
11,4
1,5
11,5
12,5
1,6
5,6
7,6
8,6
12,6
13,6
15,6
1,7
5,7
7,7
8,7
12,7
13,7
15,7
1,8
5,8
7,8
8,8
12,8
13,8
15,8
1,9
5,9
12,9
13,9
5,10
9,10
17,10
18,10
11,11
11,12
11,13
1,14
5,14
12,14
1,15
5,15
7,15
8,15
12,15
13,15
15,15
1,16
5,16
7,16
8,16
12,16
13,16
15,16
1,17
5,17
7,17
8,17
12,17
13,17
15,17
1,18
5,18
12,18
13,18
1,19
5,19
7,19
8,19
12,19
13,19
15,19
1,20
5,20
12,20
13,20
1,21
5,21
7,21
8,21
12,21
13,21
15,21
1,22
5,22
7,22
8,22
12,22
13,22
15,22
1,23
5,23
7,23
8,23
12,23
13,23
15,23
1,24
5,24
7,24
8,24
12,24
13,24
15,24
1,25
5,25
7,25
8,25
12,25
13,25
15,25
1,26
5,26
7,26
8,26
12,26
13,26
15,26
1,27
5,27
7,27
8,27
12,27
13,27
15,27
1,28
5,28
7,28
8,28
12,28
13,28
15,28
5,29
7,29
8,29
15,29
5,30
9,30
17,30
18,30
5,31
9,31
17,31
18,31
5,32
9,32
17,32
18,32
5,33
9,33
17,33
18,33
5,34
9,34
17,34
18,34
6,35
9,35
16,35
17,35
18,35
19,35
20,35
21,35
22,35
23,35
24,35
25,35
26,35
27,35
28,35
6,36
9,36
16,36
17,36
18,36
19,36
20,36
21,36
22,36
23,36
24,36
25,36
26,36
27,36
28,36
6,37
16,37
18,37
19,37
20,37
21,37
22,37
23,37
24,37
25,37
26,37
27,37
28,37
9,38
17,38
18,38
9,39
17,39
18,39
9,40
17,40
18,40
9,41
17,41
18,41
9,42
17,42
18,42
9,43
17,43
18,43
9,44
17,44
18,44
