i,j
22,1
24,1
26,1
1,2
18,2
19,2
35,2
37,2
1,3
14,3
18,3
19,3
21,3
24,3
25,3
27,3
28,3
30,3
34,3
35,3
37,3
1,4
14,4
18,4
19,4
21,4
23,4
24,4
25,4
30,4
34,4
35,4
37,4
1,5
14,5
18,5
19,5
21,5
24,5
25,5
30,5
34,5
35,5
37,5
1,6
14,6
18,6
19,6
21,6
23,6
24,6
25,6
30,6
34,6
35,6
37,6
1,7
14,7
18,7
19,7
21,7
24,7
25,7
30,7
34,7
35,7
37,7
1,8
14,8
18,8
19,8
23,8
24,8
25,8
30,8
34,8
35,8
37,8
1,9
14,9
18,9
19,9
24,9
25,9
30,9
35,9
37,9
1,10
14,10
18,10
19,10
21,10
24,10
30,10
34,10
35,10
37,10
1,11
14,11
18,11
19,11
21,11
23,11
24,11
25,11
30,11
35,11
37,11
1,12
18,12
19,12
24,12
30,12
35,12
37,12
1,13
14,13
19,13
21,13
28,13
30,13
35,13
37,13
26,14
1,15
14,15
18,15
19,15
21,15
23,15
24,15
25,15
30,15
34,15
35,15
37,15
14,16
21,16
14,17
19,17
25,17
30,17
35,17
26,18
19,20
24,20
35,20
14,21
24,21
26,21
22,23
22,24
24,24
26,24
22,25
24,25
22,26
24,28
26,28
24,29
35,29
24,30
26,30
24,31
24,32
26,33
26,34
24,35
26,35
30,36
35,36
26,37
26,38
26,39
26,40
26,41
26,42
1,43
14,43
18,43
19,43
21,43
23,43
24,43
25,43
27,43
28,43
30,43
34,43
35,43
37,43
26,44
26,45
