i,j
1,1
1,2
15,2
1,3
1,4
15,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
15,15
2,16
3,16
4,16
5,16
6,16
7,16
8,16
9,16
10,16
11,16
12,16
19,16
35,16
2,17
3,17
4,17
5,17
6,17
7,17
8,17
9,17
10,17
11,17
12,17
19,17
35,17
2,18
3,18
4,18
5,18
6,18
7,18
8,18
9,18
10,18
11,18
12,18
19,18
35,18
1,19
3,20
19,20
35,20
3,21
19,21
35,21
3,22
19,22
35,22
3,23
19,23
35,23
3,24
19,24
35,24
3,25
19,25
35,25
3,26
19,26
35,26
3,27
19,27
35,27
3,28
19,28
35,28
3,29
19,29
35,29
3,30
19,30
35,30
3,31
19,31
35,31
3,32
19,32
35,32
3,33
19,33
35,33
3,34
19,34
35,34
