i,j
8,1
1,2
3,2
5,2
6,2
7,2
9,2
10,2
11,2
12,2
14,2
15,2
16,2
17,2
18,2
20,2
23,2
24,2
25,2
26,2
27,2
8,3
13,3
8,4
4,5
8,5
8,6
1,7
4,7
6,7
8,7
20,7
21,7
22,7
8,9
8,10
4,11
8,11
4,12
8,12
8,13
4,14
6,14
8,14
20,14
1,15
4,15
6,15
8,15
20,15
21,15
22,15
4,16
6,16
8,16
20,16
1,17
4,17
6,17
8,17
20,17
21,17
22,17
4,18
8,18
4,19
8,19
8,20
8,21
8,22
8,23
19,23
