dataset,diff
kolpelke_et_al_2017,0.0020477439350379055
kolpelke_et_al_2017,0.003040689981740275
kolpelke_et_al_2017,0.0021523410919075617
kolpelke_et_al_2017,0.000993468587094603
kolpelke_et_al_2017,0.0010460284357255473
kolpelke_et_al_2017,0.0011723114165444097
kolpelke_et_al_2017,0.0015838465728512335
kolpelke_et_al_2017,0.0013375411541320214
kolpelke_et_al_2017,0.0005209524898083348
kolpelke_et_al_2017,0.00028917798884574297
kolpelke_et_al_2017,0.0009823409423035314
kolpelke_et_al_2017,0.0018244139890441654
kolpelke_et_al_2017,0.0008246613964106979
kolpelke_et_al_2017,0.0003618325776288432
kolpelke_et_al_2017,0.0008190975740151623
kolpelke_et_al_2017,0.00046767245803406134
kolpelke_et_al_2017,0.00046767245803406134
kolpelke_et_al_2017,0.0013906470057755507
kolpelke_et_al_2017,0.00023661814021479845
kolpelke_et_al_2017,0.001000821136038285
kolpelke_et_al_2017,0.0010128431441034295
kolpelke_et_al_2017,0.0006752287627356196
kolpelke_et_al_2017,0.00045386172342077013
kolpelke_et_al_2017,0.0015284059916469733
kolpelke_et_al_2017,0.0011364430351000722
kolpelke_et_al_2017,0.0007907559216452512
kolpelke_et_al_2017,0.001298792040114368
kolpelke_et_al_2017,0.001955192248853746
kolpelke_et_al_2017,0.0034758973312955473
kolpelke_et_al_2017,0.002782188374825175
kolpelke_et_al_2017,0.0007229449721143575
kolpelke_et_al_2017,0.001249461284318228
kolpelke_et_al_2017,0.0004337669832686146
kolpelke_et_al_2017,0.00028917798884574297
kolpelke_et_al_2017,0.0011816503347873344
kolpelke_et_al_2017,0.001037061340364463
kolpelke_et_al_2017,0.0028629156956952863
kolpelke_et_al_2017,0.0007360355235843197
kolpelke_et_al_2017,0.0019261304133405058
kolpelke_et_al_2017,0.0008162168414418466
kolpelke_et_al_2017,0.0015284059916469733
kolpelke_et_al_2017,0.0018753592912577077
kolpelke_et_al_2017,0.0002561668773543696
kolpelke_et_al_2017,0.0003191341876330565
kolpelke_et_al_2017,0.001629053872538496
kolpelke_et_al_2017,0.0017914028775527918
kolpelke_et_al_2017,0.002782188374825175
kolpelke_et_al_2017,0.0012833667590836748
kolpelke_et_al_2017,0.0012017450749394903
kolpelke_et_al_2017,0.00034012329105928546
kolpelke_et_al_2017,0.0012017450749394903
kolpelke_et_al_2017,0.002249213876951695
kolpelke_et_al_2017,0.0031859991593064757
kolpelke_et_al_2017,0.0003618325776288432
kolpelke_et_al_2017,0.00027464707108912297
kolpelke_et_al_2017,0.0003799409484817565
kolpelke_et_al_2017,0.002027126654493517
kolpelke_et_al_2017,0.00015355608978395594
kolpelke_et_al_2017,0.00023015995454518954
kolpelke_et_al_2017,0.0011455843105919008
kolpelke_et_al_2017,0.0021668720096641816
kolpelke_et_al_2017,0.0015635776525683332
kolpelke_et_al_2017,0.0013366467908579483
kolpelke_et_al_2017,0.0010709668151299098
kolpelke_et_al_2017,0.0012286463610227435
kolpelke_et_al_2017,0.0008246613964106979
kolpelke_et_al_2017,0.0006946033197444464
kolpelke_et_al_2017,0.0008246613964106979
kolpelke_et_al_2017,0.0012591485628226412
kolpelke_et_al_2017,0.0009263778207070383
kolpelke_et_al_2017,0.0019115994955838857
kolpelke_et_al_2017,0.0008108506617974067
kolpelke_et_al_2017,0.0002398472330496029
kolpelke_et_al_2017,0.0004870470150428881
kolpelke_et_al_2017,0.0013034614992358305
kolpelke_et_al_2017,0.0009796578524813118
kolpelke_et_al_2017,0.0027231703405246215
kolpelke_et_al_2017,0.0004151126094031167
kolpelke_et_al_2017,0.00020271266544935168
kolpelke_et_al_2017,0.0006807925851311554
kolpelke_et_al_2017,0.000197869026197145
kolpelke_et_al_2017,0.00020755630470155835
kolpelke_et_al_2017,0.0002220872224581784
kolpelke_et_al_2017,0.0002220872224581784
kolpelke_et_al_2017,0.000197869026197145
kolpelke_et_al_2017,0.000233389047379994
kolpelke_et_al_2017,0.0006081379963480551
kolpelke_et_al_2017,0.00014135990158806703
kolpelke_et_al_2017,0.00038766532030727884
kolpelke_et_al_2017,0.00021401449037116726
kolpelke_et_al_2017,-9.274932893525587e-5
kolpelke_et_al_2017,0.0006687705770660107
kolpelke_et_al_2017,0.0014302904830672774
kolpelke_et_al_2017,0.0011839850643480658
kolpelke_et_al_2017,0.0007817888262841666
kolpelke_et_al_2017,0.0001558908193446871
kolpelke_et_al_2017,0.0002043272118667539
kolpelke_et_al_2017,0.000233389047379994
kolpelke_et_al_2017,0.00020271266544935168
kolpelke_et_al_2017,0.0008237670331366245
kolpelke_et_al_2017,0.0006662616673745353
kolpelke_et_al_2017,-1.2022008065144514e-5
kolpelke_et_al_2017,0.0011507997727259478
kolpelke_et_al_2017,0.0006662616673745353
kolpelke_et_al_2017,0.00042479988790753006
kolpelke_et_al_2017,0.0003182398243589831
kolpelke_et_al_2017,0.00042479988790753006
kolpelke_et_al_2017,0.0006759489458789486
kolpelke_et_al_2017,0.0004490180841685635
kolpelke_et_al_2017,0.0006759489458789486
kolpelke_et_al_2017,0.0006807925851311554
kolpelke_et_al_2017,0.00020271266544935168
kolpelke_et_al_2017,0.00018333810844052496
kolpelke_et_al_2017,0.00020271266544935168
kolpelke_et_al_2017,0.00018333810844052496
kolpelke_et_al_2017,0.00018818174769273161
kolpelke_et_al_2017,0.0002220872224581784
kolpelke_et_al_2017,0.00018997047424087826
kolpelke_et_al_2017,0.0010054905951597474
kolpelke_et_al_2017,0.00020594175828415613
kolpelke_et_al_2017,0.0011911634331610035
kolpelke_et_al_2017,0.00042964352715973677
kolpelke_et_al_2017,0.00020271266544935168
kolpelke_et_al_2017,0.000489730104865108
kolpelke_et_al_2017,0.0003320505589722743
kolpelke_et_al_2017,0.0008544434150672669
kolpelke_et_al_2017,0.0013179924169924506
kolpelke_et_al_2017,0.0013179924169924506
kolpelke_et_al_2017,0.002071439590906706
kolpelke_et_al_2017,0.0009206398181807582
kolpelke_et_al_2017,0.0010619997197688254
kolpelke_et_al_2017,0.00023177450096259177
kolpelke_et_al_2017,0.0002172435832059717
kolpelke_et_al_2017,0.00023177450096259177
kolpelke_et_al_2017,0.0009529307465288027
kolpelke_et_al_2017,0.00027303252467172066
kolpelke_et_al_2017,0.0004021962380638989
kolpelke_et_al_2017,0.00042479988790753006
kolpelke_et_al_2017,0.00023015995454518954
kolpelke_et_al_2017,0.00020109811903194945
kolpelke_et_al_2017,0.000463002998912599
kolpelke_et_al_2017,0.0008698686960979603
kolpelke_et_al_2017,8.807986981379355e-5
kolpelke_et_al_2017,0.001633723331659958
kolpelke_et_al_2017,0.00024307632588440735
kolpelke_et_al_2017,0.000197869026197145
kolpelke_et_al_2017,0.0002237017688755806
kolpelke_et_al_2017,0.000933556189519976
kolpelke_et_al_2017,0.000933556189519976
kolpelke_et_al_2017,0.00047646537326440135
kolpelke_et_al_2017,0.0004796944660992058
kolpelke_et_al_2017,0.00023500359379739622
kolpelke_et_al_2017,0.0002398472330496029
kolpelke_et_al_2017,0.000233389047379994
kolpelke_et_al_2017,0.0002398472330496029
kolpelke_et_al_2017,0.00023823268663220067
kolpelke_et_al_2017,0.00024146177946700513
nz_stream_foodweb,3.3524268938951715e-5
nz_stream_foodweb,3.16270093407154e-5
nz_stream_foodweb,1.3072015911220212e-5
nz_stream_foodweb,3.7109986858990386e-5
nz_stream_foodweb,2.234951262596781e-5
nz_stream_foodweb,1.2597701011661136e-5
nz_stream_foodweb,1.639222020813375e-5
nz_stream_foodweb,1.5917905308574674e-5
nz_stream_foodweb,1.2597701011661136e-5
nz_stream_foodweb,1.022612651386575e-5
nz_stream_foodweb,8.80318181518852e-6
nz_stream_foodweb,1.639222020813375e-5
nz_stream_foodweb,1.4494960609897442e-5
nz_stream_foodweb,6.704853787790343e-5
nz_stream_foodweb,1.3072015911220212e-5
nz_stream_foodweb,4.0904506055463e-5
nz_stream_foodweb,2.234951262596781e-5
nz_stream_foodweb,4.469902525193562e-5
nz_stream_foodweb,4.469902525193562e-5
nz_stream_foodweb,1.4342871680154699e-5
nz_stream_foodweb,3.1209406787847526e-5
nz_stream_foodweb,5.7353438610287946e-5
nz_stream_foodweb,1.813739087662731e-5
nz_stream_foodweb,6.32540186814308e-5
nz_stream_foodweb,7.042545452150816e-5
nz_stream_foodweb,7.421997371798077e-5
nz_stream_foodweb,1.3072015911220212e-5
nz_stream_foodweb,5.3558919413815336e-5
nz_stream_foodweb,5.7353438610287946e-5
nz_stream_foodweb,4.469902525193562e-5
nz_stream_foodweb,2.519540202332227e-5
nz_stream_foodweb,1.5917905308574674e-5
nz_stream_foodweb,2.519540202332227e-5
