dataset,num_networks,metaweb_richness,mean_local_richness,metaweb_connectance,mean_local_connectance,mean_βos,mean_βwn
kolpelke_et_al_2017,100,98,7.87,0.037380258225739274,0.14190974984793917,1.3826132993108755,1.9720385970465948
nz_stream_foodweb,18,566,80.66666666666667,0.014015657580941202,0.04914030538951318,1.6173298991247578,1.9535166408886389
havens_1992,50,188,33.58,0.06470688094160254,0.09861346248240219,1.4672478089832524,1.880878420353948
ponisio_2017,100,226,23.0,0.01779700837966951,0.05605357448610651,1.436494290683663,1.8702027386818563
hadfield_2014,51,327,32.705882352941174,0.08549305945598973,0.3374155169198272,1.4769967714919707,1.9518688543511602
closs_1994,12,61,29.083333333333332,0.1416285944638538,0.07998167418286427,1.735830938816722,1.86455884866892
RMBL_pollination,86,122,21.41860465116279,0.18326118326118326,0.31266203556838973,1.5276788368435918,1.9074709244328778
